Reference, Reference URL, Reference Perpendicular Baseline (meters),Secondary, Secondary URL, Secondary Perpendicular Baseline (meters),Pair Temporal Baseline (days)
S1A_IW_SLC__1SDV_20200103T010707_20200103T010734_030629_038274_52BF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200103T010707_20200103T010734_030629_038274_52BF.zip,16,S1A_IW_SLC__1SDV_20200115T010706_20200115T010733_030804_038891_29CA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200115T010706_20200115T010733_030804_038891_29CA.zip,53,12
S1A_IW_SLC__1SDV_20200115T010706_20200115T010733_030804_038891_29CA,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200115T010706_20200115T010733_030804_038891_29CA.zip,53,S1A_IW_SLC__1SDV_20200127T010706_20200127T010733_030979_038EBC_0474,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200127T010706_20200127T010733_030979_038EBC_0474.zip,104,12
S1A_IW_SLC__1SDV_20200127T010706_20200127T010733_030979_038EBC_0474,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200127T010706_20200127T010733_030979_038EBC_0474.zip,104,S1A_IW_SLC__1SDV_20200208T010706_20200208T010733_031154_0394D9_5B4B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200208T010706_20200208T010733_031154_0394D9_5B4B.zip,133,12
S1A_IW_SLC__1SDV_20200208T010706_20200208T010733_031154_0394D9_5B4B,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200208T010706_20200208T010733_031154_0394D9_5B4B.zip,133,S1A_IW_SLC__1SDV_20200220T010706_20200220T010733_031329_039AE3_5BC2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200220T010706_20200220T010733_031329_039AE3_5BC2.zip,49,12
S1A_IW_SLC__1SDV_20200220T010706_20200220T010733_031329_039AE3_5BC2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200220T010706_20200220T010733_031329_039AE3_5BC2.zip,49,S1A_IW_SLC__1SDV_20200303T010706_20200303T010732_031504_03A0E9_5E73,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200303T010706_20200303T010732_031504_03A0E9_5E73.zip,-7,12
S1A_IW_SLC__1SDV_20200303T010706_20200303T010732_031504_03A0E9_5E73,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200303T010706_20200303T010732_031504_03A0E9_5E73.zip,-7,S1A_IW_SLC__1SDV_20200315T010706_20200315T010733_031679_03A6F9_77BF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200315T010706_20200315T010733_031679_03A6F9_77BF.zip,28,12
S1A_IW_SLC__1SDV_20200315T010706_20200315T010733_031679_03A6F9_77BF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200315T010706_20200315T010733_031679_03A6F9_77BF.zip,28,S1A_IW_SLC__1SDV_20200327T010706_20200327T010733_031854_03AD23_97B4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200327T010706_20200327T010733_031854_03AD23_97B4.zip,67,12
S1A_IW_SLC__1SDV_20200327T010706_20200327T010733_031854_03AD23_97B4,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200327T010706_20200327T010733_031854_03AD23_97B4.zip,67,S1A_IW_SLC__1SDV_20200408T010706_20200408T010733_032029_03B350_DA1A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200408T010706_20200408T010733_032029_03B350_DA1A.zip,87,12
S1A_IW_SLC__1SDV_20200408T010706_20200408T010733_032029_03B350_DA1A,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200408T010706_20200408T010733_032029_03B350_DA1A.zip,87,S1A_IW_SLC__1SDV_20200420T010707_20200420T010734_032204_03B97A_BD8D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200420T010707_20200420T010734_032204_03B97A_BD8D.zip,93,12
S1A_IW_SLC__1SDV_20200420T010707_20200420T010734_032204_03B97A_BD8D,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200420T010707_20200420T010734_032204_03B97A_BD8D.zip,93,S1A_IW_SLC__1SDV_20200502T010707_20200502T010734_032379_03BF9F_558F,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20200502T010707_20200502T010734_032379_03BF9F_558F.zip,2,12
